caves;stalagmite;latitude;longitude;depth;age;O18;O18_error;C13;C13_error;
Cueva de Diamante;NAR-C;-5.733333;-77.5;28.16428571;9.332;-5.54;-;-8.2;-;1.31
Cueva de Diamante;NAR-C;-5.733333;-77.5;28.28571429;9.426;-5.56;-;-7.03;-;1.29
Cueva de Diamante;NAR-C;-5.733333;-77.5;28.40714286;9.519;-5.19;-;-7.01;-;1.31
Cueva de Diamante;NAR-C;-5.733333;-77.5;28.52857143;9.613;-5.41;-;-8.03;-;1.29
Cueva de Diamante;NAR-C;-5.733333;-77.5;28.65;9.706;-5.39;-;-9.98;-;1.31
Cueva de Diamante;NAR-C;-5.733333;-77.5;29.08333333;9.762;-5.75;-;-10.61;-;7.74
Cueva de Diamante;NAR-C;-5.733333;-77.5;29.51666667;9.818;-6.64;-;-11.11;-;7.74
Cueva de Diamante;NAR-C;-5.733333;-77.5;29.95;9.874;-6.34;-;-10.07;-;7.74
Cueva de Diamante;NAR-C;-5.733333;-77.5;30.38333333;9.93;-6.16;-;-10.89;-;7.74
Cueva de Diamante;NAR-C;-5.733333;-77.5;30.81666667;9.986;-6.2;-;-9.95;-;7.74
Cueva de Diamante;NAR-C;-5.733333;-77.5;31.25;10.042;-6.07;-;-9.28;-;7.74
Cueva de Diamante;NAR-C;-5.733333;-77.5;31.68333333;10.098;-5.53;-;-7.37;-;7.74
Cueva de Diamante;NAR-C;-5.733333;-77.5;32.11666667;10.154;-5.4;-;-7.2;-;7.74
Cueva de Diamante;NAR-C;-5.733333;-77.5;32.55;10.211;-5.75;-;-8.1;-;7.6
Cueva de Diamante;NAR-C;-5.733333;-77.5;32.65;10.223;-5.62;-;-7.71;-;8.33
Cueva de Diamante;NAR-C;-5.733333;-77.5;32.75;10.412;-4.51;-;-6.55;-;0.53
Cueva de Diamante;NAR-C;-5.733333;-77.5;32.85;10.6;-5.14;-;-6.9;-;0.53
Cueva de Diamante;NAR-C;-5.733333;-77.5;32.95;10.788;-5.42;-;-6.74;-;0.53
Cueva de Diamante;NAR-C;-5.733333;-77.5;33.05;10.889;-6.85;-;-7.16;-;0.99
Cueva de Diamante;NAR-C;-5.733333;-77.5;33.14;10.98;-5.28;-;-7.07;-;0.99
Cueva de Diamante;NAR-C;-5.733333;-77.5;33.23;11.072;-5.56;-;-7.4;-;0.98
Cueva de Diamante;NAR-C;-5.733333;-77.5;33.32;11.163;-5.84;-;-7.89;-;0.99
Cueva de Diamante;NAR-C;-5.733333;-77.5;33.41;11.254;-5.78;-;-7.61;-;0.99
Cueva de Diamante;NAR-C;-5.733333;-77.5;33.5;11.345;-5.6;-;-7.27;-;0.99
Cueva de Diamante;NAR-C;-5.733333;-77.5;33.56071429;11.407;-5.59;-;-7.53;-;0.98
Cueva de Diamante;NAR-C;-5.733333;-77.5;33.62142857;11.468;-5.56;-;-7.27;-;1
Cueva de Diamante;NAR-C;-5.733333;-77.5;33.68214286;11.53;-5.45;-;-7.2;-;0.98
Cueva de Diamante;NAR-C;-5.733333;-77.5;33.74285714;11.591;-5.35;-;-6.83;-;1
Cueva de Diamante;NAR-C;-5.733333;-77.5;33.80357143;11.653;-5.16;-;-6.65;-;0.98
Cueva de Diamante;NAR-C;-5.733333;-77.5;33.86428571;11.715;-5.96;-;-6.6;-;0.98
Cueva de Diamante;NAR-C;-5.733333;-77.5;33.925;11.776;-5.58;-;-6.6;-;1
Cueva de Diamante;NAR-C;-5.733333;-77.5;33.98571429;11.838;-5.11;-;-6.9;-;0.98
Cueva de Diamante;NAR-C;-5.733333;-77.5;34.04642857;11.959;-5.7;-;-7.45;-;0.5
Cueva de Diamante;NAR-C;-5.733333;-77.5;34.10714286;12.08;-6.47;-;-6.6;-;0.5
Cueva de Diamante;NAR-C;-5.733333;-77.5;34.16785714;12.201;-6.33;-;-6.56;-;0.5
Cueva de Diamante;NAR-C;-5.733333;-77.5;34.22857143;12.322;-6.58;-;-7.89;-;0.5
Cueva de Diamante;NAR-C;-5.733333;-77.5;34.28928571;12.443;-6.87;-;-7.88;-;0.5
Cueva de Diamante;NAR-C;-5.733333;-77.5;34.35;12.564;-7.39;-;-7.83;-;0.5
Cueva de Diamante;NAR-C;-5.733333;-77.5;34.41071429;12.685;-6.55;-;-8.84;-;0.5
Cueva de Diamante;NAR-C;-5.733333;-77.5;34.47142857;12.806;-6.6;-;-8.89;-;0.5
Cueva de Diamante;NAR-C;-5.733333;-77.5;34.53214286;12.927;-7.79;-;-8.76;-;0.5
Cueva de Diamante;NAR-C;-5.733333;-77.5;34.59285714;13.048;-6.69;-;-8.64;-;0.5
Cueva de Diamante;NAR-C;-5.733333;-77.5;34.65357143;13.169;-6.69;-;-8.67;-;0.5
Cueva de Diamante;NAR-C;-5.733333;-77.5;34.71428571;13.289;-7;-;-8.8;-;0.51
Cueva de Diamante;NAR-C;-5.733333;-77.5;34.775;13.41;-6.73;-;-8.99;-;0.5
Cueva de Diamante;NAR-C;-5.733333;-77.5;34.83571429;13.531;-6.65;-;-8.46;-;0.5
Cueva de Diamante;NAR-C;-5.733333;-77.5;34.89642857;13.652;-5.98;-;-7.79;-;0.5
Cueva de Diamante;NAR-C;-5.733333;-77.5;34.95714286;13.773;-5.85;-;-6.99;-;0.5
Cueva de Diamante;NAR-C;-5.733333;-77.5;35.01785714;13.894;-6.05;-;-7.51;-;0.5
Cueva de Diamante;NAR-C;-5.733333;-77.5;35.07857143;14.238;-6.2;-;-7.48;-;0.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;35.13928571;14.581;-6.11;-;-7.42;-;0.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;35.2;14.925;-6.14;-;-7.1;-;0.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;35.21;14.981;-6.23;-;-7.36;-;0.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;35.28181818;15.388;-6.56;-;-7.23;-;0.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;35.35363636;15.794;-6.72;-;-6.94;-;0.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;35.42545455;16.2;-6.58;-;-6.17;-;0.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;35.49727273;16.228;-6.6;-;-6.64;-;2.56
Cueva de Diamante;NAR-C;-5.733333;-77.5;35.56909091;16.257;-7.1;-;-6.95;-;2.48
Cueva de Diamante;NAR-C;-5.733333;-77.5;35.64090909;16.285;-6.73;-;-6.7;-;2.56
Cueva de Diamante;NAR-C;-5.733333;-77.5;35.71272727;16.313;-6.62;-;-6.52;-;2.56
Cueva de Diamante;NAR-C;-5.733333;-77.5;35.78454545;16.341;-6.96;-;-6.61;-;2.56
Cueva de Diamante;NAR-C;-5.733333;-77.5;35.85636364;16.37;-6.96;-;-6.62;-;2.48
Cueva de Diamante;NAR-C;-5.733333;-77.5;35.92818182;16.398;-6.85;-;-6.81;-;2.56
Cueva de Diamante;NAR-C;-5.733333;-77.5;36;16.426;-6.51;-;-6.55;-;2.56
Cueva de Diamante;NAR-C;-5.733333;-77.5;36.08;16.458;-6.38;-;-6.62;-;2.5
Cueva de Diamante;NAR-C;-5.733333;-77.5;36.16;16.489;-6.26;-;-6.54;-;2.58
Cueva de Diamante;NAR-C;-5.733333;-77.5;36.24;16.521;-6.06;-;-6.76;-;2.5
Cueva de Diamante;NAR-C;-5.733333;-77.5;36.32;16.552;-6.63;-;-6.65;-;2.58
Cueva de Diamante;NAR-C;-5.733333;-77.5;36.4;16.584;-6.26;-;-6.47;-;2.5
Cueva de Diamante;NAR-C;-5.733333;-77.5;36.48;16.62;-6.08;-;-6.6;-;2.22
Cueva de Diamante;NAR-C;-5.733333;-77.5;36.56;16.657;-5.86;-;-7.26;-;2.16
Cueva de Diamante;NAR-C;-5.733333;-77.5;36.64;16.693;-6.87;-;-6.39;-;2.22
Cueva de Diamante;NAR-C;-5.733333;-77.5;36.72;16.73;-6.95;-;-6.5;-;2.16
Cueva de Diamante;NAR-C;-5.733333;-77.5;36.8;16.766;-6.75;-;-6.54;-;2.22
Cueva de Diamante;NAR-C;-5.733333;-77.5;36.885;16.805;-7.05;-;-6.9;-;2.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;36.97;16.844;-7.56;-;-7.27;-;2.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;37.055;16.883;-7.13;-;-6.47;-;2.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;37.14;16.922;-7.26;-;-6.84;-;2.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;37.225;16.961;-7.28;-;-6.6;-;2.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;37.31;16.999;-7.11;-;-6.33;-;2.24
Cueva de Diamante;NAR-C;-5.733333;-77.5;37.395;17.038;-6.99;-;-6.59;-;2.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;37.48;17.077;-7.06;-;-6.53;-;2.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;37.565;17.116;-7.34;-;-6.89;-;2.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;37.65;17.155;-7.22;-;-7.13;-;2.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;37.72;17.187;-7.1;-;-6.95;-;2.19
Cueva de Diamante;NAR-C;-5.733333;-77.5;37.79;17.218;-7.27;-;-6.88;-;2.26
Cueva de Diamante;NAR-C;-5.733333;-77.5;37.86;17.25;-7.22;-;-7.26;-;2.19
Cueva de Diamante;NAR-C;-5.733333;-77.5;37.93;17.282;-6.98;-;-6.55;-;2.19
Cueva de Diamante;NAR-C;-5.733333;-77.5;38;17.314;-7.17;-;-6.69;-;2.19
Cueva de Diamante;NAR-C;-5.733333;-77.5;38.07;17.346;-7.21;-;-6.7;-;2.19
Cueva de Diamante;NAR-C;-5.733333;-77.5;38.14;17.378;-7.21;-;-6.69;-;2.19
Cueva de Diamante;NAR-C;-5.733333;-77.5;38.21;17.41;-7.32;-;-7.51;-;2.19
Cueva de Diamante;NAR-C;-5.733333;-77.5;38.28;17.442;-7.35;-;-7.42;-;2.19
Cueva de Diamante;NAR-C;-5.733333;-77.5;38.35;17.474;-7.62;-;-7.96;-;2.19
Cueva de Diamante;NAR-C;-5.733333;-77.5;38.435;17.513;-7.16;-;-6.87;-;2.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;38.52;17.552;-6.71;-;-8.43;-;2.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;38.605;17.591;-7.36;-;-7.71;-;2.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;38.69;17.629;-7.91;-;-8.6;-;2.24
Cueva de Diamante;NAR-C;-5.733333;-77.5;38.775;17.668;-7.55;-;-7.47;-;2.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;38.86;17.707;-7.77;-;-7.72;-;2.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;38.945;17.746;-7.86;-;-7.72;-;2.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;39.03;17.785;-7.74;-;-7.73;-;2.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;39.115;17.823;-7.55;-;-7.08;-;2.24
