caves;stalagmite;age;temp
Botuvera Cave;BT2;20.02;15.34
Botuvera Cave;BT2;20.01;15.1
Botuvera Cave;BT2;20;15.31
Botuvera Cave;BT2;19.99;15.25
Botuvera Cave;BT2;19.98;15.1
Botuvera Cave;BT2;19.97;15.19
Botuvera Cave;BT2;19.96;15.29
Botuvera Cave;BT2;19.95;15.32
Botuvera Cave;BT2;19.94;14.84
Botuvera Cave;BT2;19.93;15.16
Botuvera Cave;BT2;19.92;15.08
Botuvera Cave;BT2;19.91;15.38
Botuvera Cave;BT2;19.9;15.3
Botuvera Cave;BT2;19.89;15.35
Botuvera Cave;BT2;19.88;15
Botuvera Cave;BT2;19.87;15.3
Botuvera Cave;BT2;19.86;15.23
Botuvera Cave;BT2;19.85;15.69
Botuvera Cave;BT2;19.84;15.18
Botuvera Cave;BT2;19.83;15.36
Botuvera Cave;BT2;19.82;15.43
Botuvera Cave;BT2;19.81;15.47
Botuvera Cave;BT2;19.8;15.48
Botuvera Cave;BT2;19.79;15.41
Botuvera Cave;BT2;19.78;15.27
Botuvera Cave;BT2;19.77;15.34
Botuvera Cave;BT2;19.76;15.18
Botuvera Cave;BT2;19.75;15.37
Botuvera Cave;BT2;19.74;15.14
Botuvera Cave;BT2;19.73;15.18
Botuvera Cave;BT2;19.72;15.36
Botuvera Cave;BT2;19.71;15.26
Botuvera Cave;BT2;19.7;15.24
Botuvera Cave;BT2;19.69;15.27
Botuvera Cave;BT2;19.68;15.18
Botuvera Cave;BT2;19.67;15.19
Botuvera Cave;BT2;19.66;15.17
Botuvera Cave;BT2;19.65;15.04
Botuvera Cave;BT2;19.64;15.14
Botuvera Cave;BT2;19.63;15.1
Botuvera Cave;BT2;19.62;15.22
Botuvera Cave;BT2;19.61;15.13
Botuvera Cave;BT2;19.6;15.3
Botuvera Cave;BT2;19.59;15.16
Botuvera Cave;BT2;19.58;15.11
Botuvera Cave;BT2;19.57;15.26
Botuvera Cave;BT2;19.56;15.17
Botuvera Cave;BT2;19.55;15.38
Botuvera Cave;BT2;19.54;15.5
Botuvera Cave;BT2;19.53;15.26
Botuvera Cave;BT2;19.52;15.3
Botuvera Cave;BT2;19.51;15.17
Botuvera Cave;BT2;19.5;15.19
Botuvera Cave;BT2;19.49;15.21
Botuvera Cave;BT2;19.48;14.94
Botuvera Cave;BT2;19.47;15.23
Botuvera Cave;BT2;19.46;15.55
Botuvera Cave;BT2;19.45;15.11
Botuvera Cave;BT2;19.44;15.19
Botuvera Cave;BT2;19.43;15.24
Botuvera Cave;BT2;19.42;15.08
Botuvera Cave;BT2;19.41;15.38
Botuvera Cave;BT2;19.4;15.14
Botuvera Cave;BT2;19.39;15.19
Botuvera Cave;BT2;19.38;15.28
Botuvera Cave;BT2;19.37;15.15
Botuvera Cave;BT2;19.36;15.35
Botuvera Cave;BT2;19.35;15.24
Botuvera Cave;BT2;19.34;15.07
Botuvera Cave;BT2;19.33;15.19
Botuvera Cave;BT2;19.32;15.32
Botuvera Cave;BT2;19.31;14.96
Botuvera Cave;BT2;19.3;15.13
Botuvera Cave;BT2;19.29;15.18
Botuvera Cave;BT2;19.28;14.88
Botuvera Cave;BT2;19.27;15.03
Botuvera Cave;BT2;19.26;15.28
Botuvera Cave;BT2;19.25;15.15
Botuvera Cave;BT2;19.24;14.97
Botuvera Cave;BT2;19.23;15
Botuvera Cave;BT2;19.22;15.21
Botuvera Cave;BT2;19.21;15.06
Botuvera Cave;BT2;19.2;15.33
Botuvera Cave;BT2;19.19;15.22
Botuvera Cave;BT2;19.18;15.24
Botuvera Cave;BT2;19.17;15.29
Botuvera Cave;BT2;19.16;15.17
Botuvera Cave;BT2;19.15;15.23
Botuvera Cave;BT2;19.14;15.3
Botuvera Cave;BT2;19.13;14.9
Botuvera Cave;BT2;19.12;15.05
Botuvera Cave;BT2;19.11;15.1
Botuvera Cave;BT2;19.1;15.12
Botuvera Cave;BT2;19.09;15.01
Botuvera Cave;BT2;19.08;15.1
Botuvera Cave;BT2;19.07;15.24
Botuvera Cave;BT2;19.06;15.09
Botuvera Cave;BT2;19.05;15
Botuvera Cave;BT2;19.04;15.21
Botuvera Cave;BT2;19.03;15.28
Botuvera Cave;BT2;19.02;15.25
Botuvera Cave;BT2;19.01;15.17
Botuvera Cave;BT2;19;15.12
Botuvera Cave;BT2;18.99;15.12
Botuvera Cave;BT2;18.98;15.08
Botuvera Cave;BT2;18.97;15.26
Botuvera Cave;BT2;18.96;15.3
Botuvera Cave;BT2;18.95;15.2
Botuvera Cave;BT2;18.94;15.3
Botuvera Cave;BT2;18.93;15.3
Botuvera Cave;BT2;18.92;15.24
Botuvera Cave;BT2;18.91;15.19
Botuvera Cave;BT2;18.9;15.4
Botuvera Cave;BT2;18.89;15.12
Botuvera Cave;BT2;18.88;15.32
Botuvera Cave;BT2;18.87;15.07
Botuvera Cave;BT2;18.86;15.12
Botuvera Cave;BT2;18.85;15.28
Botuvera Cave;BT2;18.84;14.88
Botuvera Cave;BT2;18.83;15.23
Botuvera Cave;BT2;18.82;15.23
Botuvera Cave;BT2;18.81;15.13
Botuvera Cave;BT2;18.8;15.4
Botuvera Cave;BT2;18.79;15.33
Botuvera Cave;BT2;18.78;15.29
Botuvera Cave;BT2;18.77;15.26
Botuvera Cave;BT2;18.76;15.43
Botuvera Cave;BT2;18.75;15.14
Botuvera Cave;BT2;18.74;15.37
Botuvera Cave;BT2;18.73;15.37
Botuvera Cave;BT2;18.72;14.99
Botuvera Cave;BT2;18.71;15.2
Botuvera Cave;BT2;18.7;15.27
Botuvera Cave;BT2;18.69;15.16
Botuvera Cave;BT2;18.68;15.11
Botuvera Cave;BT2;18.67;15.12
Botuvera Cave;BT2;18.66;15.15
Botuvera Cave;BT2;18.65;15.43
Botuvera Cave;BT2;18.64;15.48
Botuvera Cave;BT2;18.63;15.36
Botuvera Cave;BT2;18.62;15.27
Botuvera Cave;BT2;18.61;15.11
Botuvera Cave;BT2;18.6;15.18
Botuvera Cave;BT2;18.59;15.32
Botuvera Cave;BT2;18.58;15.11
Botuvera Cave;BT2;18.57;15.24
Botuvera Cave;BT2;18.56;15.23
Botuvera Cave;BT2;18.55;15.14
Botuvera Cave;BT2;18.54;15.12
Botuvera Cave;BT2;18.53;15.26
Botuvera Cave;BT2;18.52;15.1
Botuvera Cave;BT2;18.51;15.36
Botuvera Cave;BT2;18.5;15.59
Botuvera Cave;BT2;18.49;15.19
Botuvera Cave;BT2;18.48;15.15
Botuvera Cave;BT2;18.47;15.22
Botuvera Cave;BT2;18.46;15.43
Botuvera Cave;BT2;18.45;15.64
Botuvera Cave;BT2;18.44;15.41
Botuvera Cave;BT2;18.43;15.44
Botuvera Cave;BT2;18.42;15.37
Botuvera Cave;BT2;18.41;15.25
Botuvera Cave;BT2;18.4;15.19
Botuvera Cave;BT2;18.39;15.22
Botuvera Cave;BT2;18.38;15.46
Botuvera Cave;BT2;18.37;15.27
Botuvera Cave;BT2;18.36;15.22
Botuvera Cave;BT2;18.35;15.24
Botuvera Cave;BT2;18.34;15.04
Botuvera Cave;BT2;18.33;15.16
Botuvera Cave;BT2;18.32;15.3
Botuvera Cave;BT2;18.31;15.42
Botuvera Cave;BT2;18.3;15.66
Botuvera Cave;BT2;18.29;15.07
Botuvera Cave;BT2;18.28;15.43
Botuvera Cave;BT2;18.27;15.24
Botuvera Cave;BT2;18.26;15.48
Botuvera Cave;BT2;18.25;15.67
Botuvera Cave;BT2;18.24;15.63
Botuvera Cave;BT2;18.23;15.39
Botuvera Cave;BT2;18.22;15.26
Botuvera Cave;BT2;18.21;15.37
Botuvera Cave;BT2;18.2;15.22
Botuvera Cave;BT2;18.19;15.42
Botuvera Cave;BT2;18.18;15.23
Botuvera Cave;BT2;18.17;15.34
Botuvera Cave;BT2;18.16;15.38
Botuvera Cave;BT2;18.15;15.59
Botuvera Cave;BT2;18.14;15.34
Botuvera Cave;BT2;18.13;15.24
Botuvera Cave;BT2;18.12;15.28
Botuvera Cave;BT2;18.11;15.37
Botuvera Cave;BT2;18.1;15.41
Botuvera Cave;BT2;18.09;15.3
Botuvera Cave;BT2;18.08;15.31
Botuvera Cave;BT2;18.07;15.4
Botuvera Cave;BT2;18.06;15.26
Botuvera Cave;BT2;18.05;15.35
Botuvera Cave;BT2;18.04;15.62
Botuvera Cave;BT2;18.03;15.38
Botuvera Cave;BT2;18.02;15.43
Botuvera Cave;BT2;18.01;15.2
Botuvera Cave;BT2;18;15.43
Botuvera Cave;BT2;17.99;15.11
Botuvera Cave;BT2;17.98;15.25
Botuvera Cave;BT2;17.97;15.26
Botuvera Cave;BT2;17.96;15.18
Botuvera Cave;BT2;17.95;15.46
Botuvera Cave;BT2;17.94;15.22
Botuvera Cave;BT2;17.93;15.62
Botuvera Cave;BT2;17.92;15.32
Botuvera Cave;BT2;17.91;15.51
Botuvera Cave;BT2;17.9;15.41
Botuvera Cave;BT2;17.89;15.43
Botuvera Cave;BT2;17.88;15.33
Botuvera Cave;BT2;17.87;15.4
Botuvera Cave;BT2;17.86;15.53
Botuvera Cave;BT2;17.85;15.28
Botuvera Cave;BT2;17.84;15.41
Botuvera Cave;BT2;17.83;15.05
Botuvera Cave;BT2;17.82;15.32
Botuvera Cave;BT2;17.81;15.26
Botuvera Cave;BT2;17.8;15.54
Botuvera Cave;BT2;17.79;15.27
Botuvera Cave;BT2;17.78;15.33
Botuvera Cave;BT2;17.77;15.19
Botuvera Cave;BT2;17.76;15.65
Botuvera Cave;BT2;17.75;15.43
Botuvera Cave;BT2;17.74;15.31
Botuvera Cave;BT2;17.73;15.41
Botuvera Cave;BT2;17.72;15.51
Botuvera Cave;BT2;17.71;15.4
Botuvera Cave;BT2;17.7;15.61
Botuvera Cave;BT2;17.69;15.58
Botuvera Cave;BT2;17.68;15.41
Botuvera Cave;BT2;17.67;15.44
Botuvera Cave;BT2;17.66;15.46
Botuvera Cave;BT2;17.65;15.45
Botuvera Cave;BT2;17.64;15.56
Botuvera Cave;BT2;17.63;15.07
Botuvera Cave;BT2;17.62;15.43
Botuvera Cave;BT2;17.61;15.55
Botuvera Cave;BT2;17.6;15.43
Botuvera Cave;BT2;17.59;15.42
Botuvera Cave;BT2;17.58;15.34
Botuvera Cave;BT2;17.57;15.56
Botuvera Cave;BT2;17.56;15.5
Botuvera Cave;BT2;17.55;15.44
Botuvera Cave;BT2;17.54;15.7
Botuvera Cave;BT2;17.53;15.33
Botuvera Cave;BT2;17.52;15.69
Botuvera Cave;BT2;17.51;15.39
Botuvera Cave;BT2;17.5;15.74
Botuvera Cave;BT2;17.49;15.71
Botuvera Cave;BT2;17.48;15.69
Botuvera Cave;BT2;17.47;15.81
Botuvera Cave;BT2;17.46;15.77
Botuvera Cave;BT2;17.45;15.88
Botuvera Cave;BT2;17.44;15.81
Botuvera Cave;BT2;17.43;15.46
Botuvera Cave;BT2;17.42;15.72
Botuvera Cave;BT2;17.41;15.67
Botuvera Cave;BT2;17.4;15.71
Botuvera Cave;BT2;17.39;15.59
Botuvera Cave;BT2;17.38;15.84
Botuvera Cave;BT2;17.37;15.79
Botuvera Cave;BT2;17.36;15.66
Botuvera Cave;BT2;17.35;15.94
Botuvera Cave;BT2;17.34;15.97
Botuvera Cave;BT2;17.33;15.85
Botuvera Cave;BT2;17.32;15.67
Botuvera Cave;BT2;17.31;15.64
Botuvera Cave;BT2;17.3;15.99
Botuvera Cave;BT2;17.29;16.25
Botuvera Cave;BT2;17.28;15.93
Botuvera Cave;BT2;17.27;15.59
Botuvera Cave;BT2;17.26;15.76
Botuvera Cave;BT2;17.25;15.41
Botuvera Cave;BT2;17.24;15.82
Botuvera Cave;BT2;17.23;15.87
Botuvera Cave;BT2;17.22;16.06
Botuvera Cave;BT2;17.21;15.96
Botuvera Cave;BT2;17.2;15.83
Botuvera Cave;BT2;17.19;15.89
Botuvera Cave;BT2;17.18;16.06
Botuvera Cave;BT2;17.17;16.08
Botuvera Cave;BT2;17.16;16.1
Botuvera Cave;BT2;17.15;15.36
Botuvera Cave;BT2;17.14;15.71
Botuvera Cave;BT2;17.13;16.04
Botuvera Cave;BT2;17.12;16.11
Botuvera Cave;BT2;17.11;15.91
Botuvera Cave;BT2;17.1;16.29
Botuvera Cave;BT2;17.09;15.84
Botuvera Cave;BT2;17.08;16.29
Botuvera Cave;BT2;17.07;16.06
Botuvera Cave;BT2;17.06;16.38
Botuvera Cave;BT2;17.05;16.26
Botuvera Cave;BT2;17.04;16.01
Botuvera Cave;BT2;17.03;16.21
Botuvera Cave;BT2;17.02;16.07
Botuvera Cave;BT2;17.01;16.2
Botuvera Cave;BT2;17;16.07
Botuvera Cave;BT2;16.99;16.23
Botuvera Cave;BT2;16.98;16.15
Botuvera Cave;BT2;16.97;16.3
Botuvera Cave;BT2;16.96;16.18
Botuvera Cave;BT2;16.95;16.44
Botuvera Cave;BT2;16.94;16.27
Botuvera Cave;BT2;16.93;16.3
Botuvera Cave;BT2;16.92;16
Botuvera Cave;BT2;16.91;16.07
Botuvera Cave;BT2;16.9;15.95
Botuvera Cave;BT2;16.89;15.81
Botuvera Cave;BT2;16.88;16.31
Botuvera Cave;BT2;16.87;16.61
Botuvera Cave;BT2;16.86;16.33
Botuvera Cave;BT2;16.85;16.39
Botuvera Cave;BT2;16.84;15.97
Botuvera Cave;BT2;16.83;16.12
Botuvera Cave;BT2;16.82;16.27
Botuvera Cave;BT2;16.81;16
Botuvera Cave;BT2;16.8;16.34
Botuvera Cave;BT2;16.79;16.37
Botuvera Cave;BT2;16.78;16.35
Botuvera Cave;BT2;16.77;16.73
Botuvera Cave;BT2;16.76;16
Botuvera Cave;BT2;16.75;15.99
Botuvera Cave;BT2;16.74;16.18
Botuvera Cave;BT2;16.73;16.36
